location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,California,"Amador County, CA",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),All public and private gatherings of any number of people occurring outside a household are prohibited.,2020-03-20,2020-03-20,Unspecified,Unspecified,
Local,California,"Amador County, CA",Restricting,Social distancing,Isolation,General population (inclusive),Individuals without symptoms must isolate for 10 days from the date of a positive test and individuals with symptoms must isolate at least 24 hours after all symptoms have recovered or at least 10 days since symptoms have started.,2020-08-17,2020-08-17,Unspecified,Unspecified,
Local,California,"Amador County, CA",Restricting,Social distancing,Quarantine,General population (inclusive),All individuals who are close contacts must quarantine themselves. Close contact is an individual who was in close proximity with an individual with COVID-19 for a prolonged period during the infectious period which begins 48 hours before symptoms began and ends when they are released from isolation.,2020-08-17,2020-08-17,Unspecified,Unspecified,
Local,California,"Amador County, CA",Restricting,Social distancing,Isolation,General population (inclusive); Confirmed cases; Suspected cases,"All individuals at risk to spread COVID-19 must isolate themselves and follow Amador public health guidance. These include individuals who were tested for and is awaiting results of tests, and those diagnosed with COVID-19.",2020-08-17,2020-08-17,Unspecified,Unspecified,
Local,California,"Butte County, CA",Other,Contact tracing/Testing,Testing,Suspected cases,Butte county to expand testing,2020-04-24,2020-04-24,Unspecified,Unspecified,
Local,California,"Butte County, CA",Other,Contact tracing/Testing,Testing,General population (inclusive); Suspected cases,County community testing site now open,2020-05-04,2020-05-04,Unspecified,Unspecified,
Local,California,"Butte County, CA",Other,Contact tracing/Testing,Testing,General population (inclusive),""" Due to the 2020 North Complex West Zone wildfire, the State’s COVID-19 testing site OptumServe, located at the Silver Dollar fairgrounds, has been required to relocate operations and is temporarily unavailable""",2020-09-11,2020-09-11,Unspecified,Unspecified,
Local,California,"Butte County, CA",Relaxing,Social distancing,Private sector closures,Personal care facilities,As per state guidance counties that have met the criteria for accelerated re opening can reopen hair salons and barbershops. Butte county will reopen barbershops and hair salons.,2020-05-26,2020-05-26,Unspecified,Unspecified,
Local,California,"Butte County, CA",Relaxing,Social distancing,Private sector closures,Casinos/gambling facilities; Indoor recreation/sports facility ; Restaurants/bars; Outdoor recreation or space,"The following may open: Cardrooms, Satellite Wagering Facilities and Racetracks, Family Entertainment Centers, Restaurants, Bars and Wineries, Fitness Facilities, Museums, Galleries, Zoos and Aquariums",2020-06-05,2020-06-12,Unspecified,2020-07-14,
Local,California,"Butte County, CA",Relaxing,Social distancing,Private sector closures,Private sector,Butte County may move to tier 2. Approved businesses may open.,2020-09-29,2020-09-29,Unspecified,Unspecified,
Local,California,"Butte County, CA",Relaxing,Social distancing,School closures,Primary education; Secondary education,Schools may open under tier 2 if Butte county remains in tier 2 for 2 weeks.,2020-09-29,2020-10-13,Unspecified,Unspecified,
Local,California,"Butte County, CA",Relaxing,Social distancing,Private sector closures,Private sector,Butte county moves to tier 3.,2020-10-20,2020-10-20,Unspecified,Unspecified,
Local,California,"Butte County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Personal care facilities,Barber shops and hair salons must - Maintain a log of customers and contact info for 14 days  - suspend walk in appointments - implement virtual check in technology  - ask customers to wait in their cars and ensure physical distancing  - after implementing mitigation meassures salons should print the butte county self certification placard,2020-05-26,2020-05-26,Unspecified,2020-07-29,
Local,California,"Butte County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Private sector,"Business permitted to open must  have the local self certification window placards, and maintain a log of customers and participants and their contact information and time of visit",2020-06-05,2020-06-12,Unspecified,Unspecified,
Local,California,"Butte County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Restaurants/bars,Alcohol may only be sold at the same time as a meal,2020-07-14,2020-07-14,Unspecified,Unspecified,
Local,California,"Butte County, CA",Restricting,Social distancing,Private sector closures,Restaurants/bars,"Bars, brewpubs, breweries, pubs must close all operations indoors and outdoors unless offering meals",2020-07-14,2020-07-14,Unspecified,Unspecified,
Local,California,"Butte County, CA",Restricting,Social distancing,Private sector closures,Gym/workout facility/fitness center; Churches/places of worship; General population (inclusive); Restaurants/bars,"""The following businesses in Butte County must close operations unless they can be modified to operate outside or by pick-up: - Gyms and fitness centers - Places of worship - Protests - Offices for non-critical infrastructure sectors - Personal care services (including nail salons, massage parlors, and tattoo parlors) - Hair salons and barbershops - Malls""",2020-07-25,2020-07-29,Unspecified,Unspecified,
Local,California,"Calaveras County, CA",Relaxing,Social distancing,Adaptation and mitigation measures,General population (inclusive),"The Health Officer's May 1, 2020 Second Amended Order and Emergency Regulations Implementing Governor's March 4, 2020 Executive Order in Calaveras County is hereby rescinded.",2020-05-08,2020-05-08,Unspecified,Unspecified,
